# SPSA parameter list: name, default, min, max, c_end, r_end
#   c_end: final perturbation size (knob units)
#   r_end: final learning-rate factor (fishtest convention, a = r * c^2)
# Defaults must match the engine's UCI defaults in ../src/config.hpp.
# rfp_* knobs are excluded: Constexpr::use_rfp is false, the code is dead.
razor_depth,             3,    1,   10,    1,   0.03
razor_margin,           53,    1,  500,   15,   0.03
razor_depth_factor,    194,    1, 1000,   30,   0.03
nmp_base,                7,    1,   10,    1,   0.03
nmp_depth_div,           4,    1,   20,    2,   0.03
nmp_eval_div,          195,   50, 1000,   40,   0.03
probcut_margin,        140,   50,  500,   25,   0.03
futility_depth,          6,    1,   15,    1,   0.03
futility_margin,       136,   20,  500,   25,   0.03
lmp_depth,               5,    1,   15,    1,   0.03
lmp_base,                5,    0,   20,    1,   0.03
lmp_improving_base,      8,    0,   20,    1,   0.03
se_depth,               11,    4,   16,    1,   0.03
se_margin_mult,          4,    1,   10,    1,   0.03
se_entry_slack,          2,    0,   10,    1,   0.03
se_double_margin,       32,    5,  300,   10,   0.03
se_double_cap,           4,    0,   16,    1,   0.03
lmr_cutoff_cnt,          4,    1,   10,    1,   0.03
lmr_hist_div,         6929, 1024, 65536, 1500,  0.03
hist_bonus_cap,       1656,  256, 8192,  300,   0.03
hist_bonus_scale,       33,    4,  128,    8,   0.03
asp_delta,              16,    4,  100,    4,   0.03
asp_depth,               5,    1,   12,    1,   0.03
lmr_base,              142,    1,  500,   15,   0.03
lmr_divisor,           106,   50, 1000,   25,   0.03
tm_volatility_threshold,106,   1, 10000,  25,   0.03
